,onset,offset,min_duration_on,min_duration_off,precision,recall,f1_score
0,0.1,0.1,0.1,0.5,0.6703129817916756,0.8027184053095813,0.704933977635403
1,0.1,0.1,0.1,0.8,0.6585143723096175,0.8096290519095938,0.7000000071828134
2,0.1,0.1,0.1,1.0,0.653361008672086,0.817416935385326,0.6991085463573747
3,0.1,0.1,0.1,1.2,0.6472520202038747,0.8177538312210476,0.6946505043749664
4,0.1,0.1,0.2,0.5,0.6929286033400784,0.8221943175232159,0.7262933305142231
5,0.1,0.1,0.2,0.8,0.6803435185405826,0.8291049641232284,0.7208284285394495
6,0.1,0.1,0.2,1.0,0.675006970837784,0.8368928475989605,0.7197939326929541
7,0.1,0.1,0.2,1.2,0.6688733068680766,0.8372297434346823,0.7153296659127599
8,0.1,0.1,0.5,0.5,0.7283288184270549,0.8389854854344267,0.75345461954387
9,0.1,0.1,0.5,0.8,0.7121956660650736,0.848408184201565,0.7476199439103044
10,0.1,0.1,0.5,1.0,0.7064751618724558,0.8565511361704481,0.7465593972621558
11,0.1,0.1,0.5,1.2,0.6994162327531235,0.8568880320061696,0.7415588810829574
12,0.1,0.2,0.1,0.5,0.6736088287170595,0.8010969849184842,0.7062567055849606
13,0.1,0.2,0.1,0.8,0.6600009775783847,0.8081280763922866,0.7002443808936443
14,0.1,0.2,0.1,1.0,0.6554835827425533,0.815987779845582,0.6998987949118681
15,0.1,0.2,0.1,1.2,0.648567085062142,0.8163246756813035,0.6948397477255479
16,0.1,0.2,0.2,0.5,0.697250952091602,0.8205951872336625,0.7281620919141638
17,0.1,0.2,0.2,0.8,0.6828769514343918,0.8276262787074647,0.721630551869886
18,0.1,0.2,0.2,1.0,0.6781963574793208,0.8354859821607603,0.7211583571755541
19,0.1,0.2,0.2,1.2,0.6712549835341021,0.835822877996482,0.7160930656443899
20,0.1,0.2,0.5,0.5,0.7334472789693777,0.8368696665652504,0.7552330738838365
21,0.1,0.2,0.5,0.8,0.7143073186552341,0.8463892475294584,0.7476427163731103
22,0.1,0.2,0.5,1.0,0.7091474181627357,0.8551563482430279,0.7475910853866522
23,0.1,0.2,0.5,1.2,0.7012940417770541,0.8554932440787496,0.7419969032132561
24,0.1,0.3,0.1,0.5,0.6735961718793262,0.8008768214297939,0.7061356316463241
25,0.1,0.3,0.1,0.8,0.6599446920813647,0.8078436592282623,0.7000777775444174
26,0.1,0.3,0.1,1.0,0.6554360130644867,0.8157033626815574,0.6997444869411227
27,0.1,0.3,0.1,1.2,0.6484925296514474,0.8160402585172791,0.6946659820947036
28,0.1,0.3,0.2,0.5,0.6972226406430364,0.8203750237449722,0.728024461704374
29,0.1,0.3,0.2,0.8,0.6828098376894615,0.8273418615434406,0.7214486105715302
30,0.1,0.3,0.2,1.0,0.6781391574585358,0.8352015649967359,0.7209893048160647
31,0.1,0.3,0.2,1.2,0.6711707194887027,0.8355384608324574,0.7159045515708985
32,0.1,0.3,0.5,0.5,0.7333850511196203,0.836014949870079,0.7545782068343628
33,0.1,0.3,0.5,0.8,0.7142035970365472,0.845421512740552,0.7469792713373381
34,0.1,0.3,0.5,1.0,0.709070424844849,0.8541886134541212,0.7470059553404004
35,0.1,0.3,0.5,1.2,0.7011907770880321,0.8545255092898429,0.7413932937003708
36,0.1,0.5,0.1,0.5,0.6732311890999101,0.8009256939927547,0.7058227643196987
37,0.1,0.5,0.1,0.8,0.6599023561147938,0.8078925317912231,0.7000636805814517
38,0.1,0.5,0.1,1.0,0.6554172435142089,0.8157846563439486,0.6997687145149931
39,0.1,0.5,0.1,1.2,0.6484729146085353,0.8161459340540043,0.6946980289813903
40,0.1,0.5,0.2,0.5,0.696861930272128,0.8204238963079332,0.7277237853368548
41,0.1,0.5,0.2,0.8,0.6827707882679203,0.8273907341064016,0.721447280139107
42,0.1,0.5,0.2,1.0,0.6781238212021631,0.8352828586591269,0.7210263767009718
43,0.1,0.5,0.2,1.2,0.6711545377396958,0.8356441363691824,0.7159494427686218
44,0.1,0.5,0.5,0.5,0.7329894354974542,0.8360638224330401,0.7542595684573873
45,0.1,0.5,0.5,0.8,0.7141664936149607,0.845470385303513,0.7469797246065839
46,0.1,0.5,0.5,1.0,0.7090514579834157,0.8542699071165123,0.7470438785137322
47,0.1,0.5,0.5,1.2,0.7011700167895053,0.854631184826568,0.7414381221524105
48,0.2,0.1,0.1,0.5,0.8136095780044001,0.8226375443408064,0.7958952844667223
49,0.2,0.1,0.1,0.8,0.8065748705749963,0.8257977549775264,0.7932155175777423
50,0.2,0.1,0.1,1.0,0.8062495158265538,0.8314124895667918,0.7959919526171285
